Protein code	Description
AT1G30700.1	FAD-binding Berberine family protein
AT5G48540.1	receptor-like protein kinase-related family protein
AT1G02920.1	ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 - glutathione S-transferase 7
AT5G38900.1	Thioredoxin superfamily protein
AT1G24190.1	SIN3, ATSIN3, SNL3 - SIN3-like 3
AT1G02930.1	ATGSTF6, GST1, ERD11, ATGSTF3, GSTF6, ATGST1 - glutathione S-transferase 6
AT5G39050.1	HXXXD-type acyl-transferase family protein
AT2G04400.1	Aldolase-type TIM barrel family protein
AT2G43590.1	Chitinase family protein
AT5G54500.1	FQR1 - flavodoxin-like quinone reductase 1
AT3G12580.1	HSP70, ATHSP70 - heat shock protein 70
AT5G05730.1	ASA1, TRP5, AMT1, WEI2, JDL1 - anthranilate synthase alpha subunit 1
AT3G24503.1	ALDH2C4, ALDH1A, REF1 - aldehyde dehydrogenase 2C4
AT1G65970.1	TPX2 - thioredoxin-dependent peroxidase 2
AT5G17990.1	TRP1, pat1 - tryptophan biosynthesis 1
AT2G29350.1	SAG13 - senescence-associated gene 13
AT4G02520.1	ATGSTF2, ATPM24.1, ATPM24, GST2, GSTF2 - glutathione S-transferase PHI 2
AT3G21220.1	ATMKK5, ATMAP2K_ALPHA, MAP2K_A, MKK5, ATMEK5, MEK5 - MAP kinase kinase 5
AT3G54640.1	TSA1, TRP3 - tryptophan synthase alpha chain
AT2G02010.1	GAD4 - glutamate decarboxylase 4
AT2G24200.1	Cytosol aminopeptidase family protein
AT4G36380.1	ROT3 - Cytochrome P450 superfamily protein
AT5G25980.2	TGG2, BGLU37 - glucoside glucohydrolase 2
AT1G23730.1	ATBCA3, BCA3 - beta carbonic anhydrase 3
AT2G38860.1	YLS5 - Class I glutamine amidotransferase-like superfamily protein
AT5G54810.1	TSB1, TRPB, TRP2, ATTSB1 - tryptophan synthase beta-subunit 1
AT5G11670.1	ATNADP-ME2, NADP-ME2 - NADP-malic enzyme 2
AT1G21130.1	O-methyltransferase family protein
AT4G12720.1	AtNUDT7, GFG1, NUDT7, ATNUDX7 - MutT/nudix family protein
AT2G43570.1	CHI - chitinase, putative
AT5G63680.1	Pyruvate kinase family protein
AT2G36580.1	Pyruvate kinase family protein
AT4G37910.1	mtHsc70-1 - mitochondrial heat shock protein 70-1
AT3G14990.1	Class I glutamine amidotransferase-like superfamily protein
AT3G16530.1	Legume lectin family protein
AT4G35630.1	PSAT - phosphoserine aminotransferase
AT5G13200.1	GRAM domain family protein
AT4G26970.1	ACO2 - aconitase 2
AT5G56350.1	Pyruvate kinase family protein
AT3G01830.1	Calcium-binding EF-hand family protein
AT3G15356.1	Legume lectin family protein
AT4G31210.1	DNA topoisomerase, type IA, core
AT4G20830.1	FAD-binding Berberine family protein
AT3G09840.1	CDC48, ATCDC48, CDC48A - cell division cycle 48
AT3G28930.1	AIG2 - AIG2-like (avirulence induced gene) family protein
AT2G45220.1	Plant invertase/pectin methylesterase inhibitor superfamily
AT5G17380.1	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein
AT5G59420.1	ORP3C - OSBP(oxysterol binding protein)-related protein 3C
AT2G14610.1	PR1, PR 1, ATPR1 - pathogenesis-related gene 1
AT2G17420.1	NTRA, ATNTRA, NTR2 - NADPH-dependent thioredoxin reductase A
AT1G75040.1	PR5, PR-5 - pathogenesis-related gene 5
AT1G65980.1	TPX1 - thioredoxin-dependent peroxidase 1
AT3G09440.1	Heat shock protein 70 (Hsp 70) family protein
AT5G36880.2	ACS - acetyl-CoA synthetase
AT2G37760.1	NAD(P)-linked oxidoreductase superfamily protein
AT3G02360.1	6-phosphogluconate dehydrogenase family protein
AT1G45000.2	AAA-type ATPase family protein
AT5G42790.1	PAF1, ATPSM30, ARS5 - proteasome alpha subunit F1
AT3G46290.1	HERK1 - hercules receptor kinase 1
AT3G05530.1	RPT5A, ATS6A.2 - regulatory particle triple-A ATPase 5A
AT3G22060.1	Receptor-like protein kinase-related family protein
AT4G38630.1	RPN10, MCB1, ATMCB1, MBP1 - regulatory particle non-ATPase 10
AT2G20610.1	SUR1, HLS3, RTY, ALF1, RTY1 - Tyrosine transaminase family protein
AT5G59890.1	ADF4, ATADF4 - actin depolymerizing factor 4
AT2G20580.1	RPN1A, ATRPN1A - 26S proteasome regulatory subunit S2 1A
AT4G20780.1	CML42 - calmodulin like 42
AT4G29040.1	RPT2a - regulatory particle AAA-ATPase 2A
AT1G77510.1	ATPDIL1-2, PDI6, ATPDI6, PDIL1-2 - PDI-like 1-2
AT5G03630.1	ATMDAR2 - Pyridine nucleotide-disulphide oxidoreductase family protein
AT2G33150.1	PKT3, PED1, KAT2 - peroxisomal 3-ketoacyl-CoA thiolase 3
AT3G49120.1	ATPERX34, PERX34, PRXCB, ATPCB, PRX34 - peroxidase CB
AT3G19010.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT4G16260.1	Glycosyl hydrolase superfamily protein
AT3G51160.1	MUR1, MUR_1, GMD2 - NAD(P)-binding Rossmann-fold superfamily protein
AT3G48890.1	ATMP2, ATMAPR3, MSBP2, MAPR3 - membrane-associated progesterone binding protein 3
AT5G37600.1	ATGSR1, GLN1;1, GSR 1, ATGLN1;1 - glutamine synthase clone R1
AT1G64520.1	RPN12a - regulatory particle non-ATPase 12A
AT2G30110.1	ATUBA1, MOS5, UBA1 - ubiquitin-activating enzyme 1
AT3G19480.1	D-3-phosphoglycerate dehydrogenase
AT3G06860.1	MFP2, ATMFP2 - multifunctional protein 2
AT1G05010.1	EFE, ACO4, EAT1 - ethylene-forming enzyme
AT5G66780.1	unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
AT3G04720.1	PR4, HEL, PR-4 - pathogenesis-related 4
AT4G30530.1	Class I glutamine amidotransferase-like superfamily protein
AT3G55410.1	2-oxoglutarate dehydrogenase, E1 component
AT5G11520.1	ASP3, YLS4 - aspartate aminotransferase 3
